"","open","ID","Threshold","max","Condition","age","gender"
"42",1,206545964,27,1,"Patent",20,0
"43",0,206669814,37,0.982857142857143,"Patent",19,0
"44",1,206669814,37,1,"Patent",19,0
"45",0,206911141,17,0.948275862068966,"Patent",20,1
"46",1,206911141,23,0.875,"Patent",20,1
"47",0,207070749,17,0.877005347593583,"Patent",23,0
"48",1,207070749,23,0.833333333333333,"Patent",23,0
"49",0,207480112,23,0.862637362637363,"Patent",23,0
"50",1,207480112,27,0.928571428571429,"Patent",23,0
"51",0,207721614,17,0.92090395480226,"Patent",20,0
"52",1,207721614,27,0.869565217391304,"Patent",20,0
"53",0,208666263,17,0.786127167630058,"Patent",21,1
"54",1,208666263,17,0.88,"Patent",21,1
"55",0,208910836,17,0.832432432432432,"Patent",22,0
"56",1,208910836,17,1,"Patent",22,0
"57",0,209589498,27,0.877094972067039,"Patent",27,1
"58",1,209589498,33,0.8,"Patent",27,1
"59",0,222333225,17,0.891891891891892,"Patent",27,1
"60",1,222333225,37,1,"Patent",27,1
"61",0,301782645,17,0.938931297709924,"Patent",29,1
"62",1,301782645,17,0.886363636363636,"Patent",29,1
"63",0,303447205,37,0.875739644970414,"Patent",24,0
"64",1,303447205,33,0.962962962962963,"Patent",24,0
"65",0,305102741,23,0.815950920245399,"Patent",28,0
"66",1,305102741,17,0.8125,"Patent",28,0
"67",0,305368250,27,0.839506172839506,"Patent",28,1
"68",1,305368250,17,0.810810810810811,"Patent",28,1
"69",0,305560492,17,0.960264900662252,"Patent",28,0
"70",1,305560492,17,0.976190476190476,"Patent",28,0
"71",0,307982637,13,0.942196531791908,"Patent",25,0
"72",1,307982637,13,0.916666666666667,"Patent",25,0
"73",0,308113224,37,0.94475138121547,"Patent",27,0
"74",1,308113224,37,1,"Patent",27,0
"75",0,308219500,23,0.893258426966292,"Patent",26,0
"76",1,308219500,27,0.944444444444444,"Patent",26,0
"77",0,308296334,33,0.896,"Patent",26,1
"78",1,308296334,37,1,"Patent",26,1
"79",0,308509652,27,0.818181818181818,"Patent",26,1
"80",1,308509652,37,0.954545454545455,"Patent",26,1
"81",0,308570035,7,0.905,"Patent",26,0
"82",0,311355168,23,0.978609625668449,"Patent",25,1
"83",1,311355168,37,0.923076923076923,"Patent",25,1
"84",0,311504302,37,0.901734104046243,"Patent",25,0
"85",1,311504302,37,1,"Patent",25,0
"86",0,312167901,37,0.851648351648352,"Patent",24,1
"87",1,312167901,37,0.833333333333333,"Patent",24,1
"88",0,312235708,37,0.649425287356322,"Patent",24,1
"89",1,312235708,33,0.884615384615385,"Patent",24,1
"90",0,312420953,17,0.712041884816754,"Patent",24,0
"91",1,312420953,37,0.777777777777778,"Patent",24,0
"92",0,312423015,37,0.987730061349693,"Patent",25,1
"93",1,312423015,37,1,"Patent",25,1
"94",0,313299224,37,0.865853658536585,"Patent",23,0
"95",1,313299224,27,0.882352941176471,"Patent",23,0
"96",0,313325565,27,0.857142857142857,"Patent",24,0
"97",1,313325565,17,0.969230769230769,"Patent",24,0
"98",0,313455842,17,0.827586206896552,"Patent",23,0
"99",1,313455842,23,0.772727272727273,"Patent",23,0
"100",0,313563272,27,0.833333333333333,"Patent",24,1
"101",1,313563272,27,0.903225806451613,"Patent",24,1
"102",0,313863151,37,0.91304347826087,"Patent",25,0
"103",1,313863151,37,1,"Patent",25,0
"104",0,315198796,23,0.892857142857143,"Patent",19,1
"105",1,315198796,27,0.882352941176471,"Patent",19,1
"106",0,315374025,13,0.952879581151832,"Patent",23,0
"107",1,315374025,17,1,"Patent",23,0
"108",0,318689080,27,0.919540229885057,"Patent",21,1
"109",1,318689080,37,0.96,"Patent",21,1
"110",0,320912991,23,0.821989528795812,"Patent",22,1
"111",1,320912991,37,1,"Patent",22,1
"112",0,323308478,17,0.953020134228188,"Patent",23,0
"113",1,323308478,27,0.770833333333333,"Patent",23,0
"114",0,931177406,23,0.797752808988764,"Patent",20,1
"115",1,931177406,37,0.863636363636364,"Patent",20,1
"116",0,35053017,23,0.856164383561644,"No Patent",41,0
"117",1,35053017,27,0.688888888888889,"No Patent",41,0
"118",0,35979335,17,0.98159509202454,"No Patent",39,1
"119",1,35979335,23,0.909090909090909,"No Patent",39,1
"120",0,200227882,13,0.887640449438202,"No Patent",29,0
"121",1,200227882,33,1,"No Patent",29,0
"122",0,201604774,17,0.803680981595092,"No Patent",29,1
"123",1,201604774,33,0.818181818181818,"No Patent",29,1
"124",0,203125711,13,0.905405405405405,"No Patent",27,1
"125",1,203125711,37,0.959183673469388,"No Patent",27,1
"126",0,204328553,37,1,"No Patent",25,0
"127",1,204328553,37,0.975609756097561,"No Patent",25,0
"128",0,204582266,37,1,"No Patent",25,0
"129",1,204582266,37,1,"No Patent",25,0
"130",0,204755763,23,0.871951219512195,"No Patent",23,0
"131",1,204755763,37,0.911764705882353,"No Patent",23,0
"132",0,204755813,13,0.911949685534591,"No Patent",23,1
"133",1,204755813,27,0.756756756756757,"No Patent",23,1
"134",0,205444664,23,0.871165644171779,"No Patent",24,1
"135",1,205444664,33,0.925925925925926,"No Patent",24,1
"136",0,205681547,17,0.860759493670886,"No Patent",24,1
"137",1,205681547,37,0.975609756097561,"No Patent",24,1
"138",0,205710536,3,1,"No Patent",24,0
"139",1,205710536,3,1,"No Patent",24,0
"140",0,205791304,23,0.879194630872483,"No Patent",24,1
"141",1,205791304,23,0.685714285714286,"No Patent",24,1
"142",0,205905748,13,0.848484848484849,"No Patent",22,1
"143",1,205905748,27,0.852941176470588,"No Patent",22,1
"144",0,205949571,23,0.79746835443038,"No Patent",24,0
"145",1,205949571,27,0.878048780487805,"No Patent",24,0
"146",0,206016859,17,0.850299401197605,"No Patent",23,0
"147",1,206016859,13,1,"No Patent",23,0
"148",0,206018400,33,0.865853658536585,"No Patent",23,0
"149",1,206018400,33,0.9375,"No Patent",23,0
"150",0,206759557,23,0.801204819277108,"No Patent",23,1
"151",1,206759557,23,0.807692307692308,"No Patent",23,1
"152",0,207801259,27,0.865853658536585,"No Patent",19,1
"153",1,207801259,37,0.972222222222222,"No Patent",19,1
"154",0,207949371,17,0.74251497005988,"No Patent",23,0
"155",1,207949371,17,0.733333333333333,"No Patent",23,0
"156",0,208084004,23,0.926966292134832,"No Patent",19,1
"157",1,208084004,37,0.85,"No Patent",19,1
"158",0,208240960,13,0.886792452830189,"No Patent",23,0
"159",1,208240960,33,0.775,"No Patent",23,0
"160",0,208487058,37,0.818181818181818,"No Patent",22,0
"161",1,208487058,33,0.75,"No Patent",22,0
"162",0,209008895,23,0.949685534591195,"No Patent",21,0
"163",1,209008895,37,0.789473684210526,"No Patent",21,0
"164",0,301585204,37,0.945945945945946,"No Patent",28,1
"165",1,301585204,33,0.975609756097561,"No Patent",28,1
"166",0,302168596,13,0.862275449101796,"No Patent",28,1
"167",1,302168596,23,0.903225806451613,"No Patent",28,1
"168",0,303027163,27,0.842767295597484,"No Patent",28,0
"169",1,303027163,37,0.972222222222222,"No Patent",28,0
"170",0,305143703,23,0.808383233532934,"No Patent",28,0
"171",1,305143703,37,0.703703703703704,"No Patent",28,0
"172",0,305391450,23,0.939759036144578,"No Patent",27,0
"173",1,305391450,23,0.870967741935484,"No Patent",27,0
"174",0,305791865,17,0.973154362416107,"No Patent",27,1
"175",1,305791865,23,0.775,"No Patent",27,1
"176",0,307686790,23,0.902597402597403,"No Patent",30,0
"177",1,307686790,17,0.771428571428571,"No Patent",30,0
"178",0,308059070,13,0.753012048192771,"No Patent",27,1
"179",1,308059070,37,0.966666666666667,"No Patent",27,1
"180",0,308290840,13,0.931818181818182,"No Patent",27,0
"181",1,308290840,3,1,"No Patent",27,0
"182",0,308309467,17,0.835443037974684,"No Patent",25,1
"183",1,308309467,37,0.857142857142857,"No Patent",25,1
"184",0,308333541,17,0.848314606741573,"No Patent",25,0
"185",1,308333541,23,0.625,"No Patent",25,0
"186",0,308343714,37,0.890909090909091,"No Patent",25,1
"187",1,308343714,33,0.9375,"No Patent",25,1
"188",0,308354349,27,0.932515337423313,"No Patent",26,0
"189",1,308354349,27,0.90625,"No Patent",26,0
"190",0,308494665,27,0.746575342465753,"No Patent",25,1
"191",1,308494665,37,0.96078431372549,"No Patent",25,1
"192",0,311358584,7,0.817567567567568,"No Patent",25,0
"193",1,311358584,27,0.730769230769231,"No Patent",25,0
"194",0,311371249,27,0.789772727272727,"No Patent",26,1
"195",1,311371249,37,0.958333333333333,"No Patent",26,1
"196",0,311505895,7,0.897727272727273,"No Patent",25,0
"197",1,311505895,27,0.782608695652174,"No Patent",25,0
"198",0,312136971,3,0.892215568862275,"No Patent",24,1
"199",1,312136971,17,0.866666666666667,"No Patent",24,1
"200",0,312175128,17,0.902439024390244,"No Patent",25,0
"201",1,312175128,17,0.827586206896552,"No Patent",25,0
"202",0,312276652,23,0.826347305389222,"No Patent",24,0
"203",1,312276652,23,0.75,"No Patent",24,0
"204",0,312536303,23,0.79746835443038,"No Patent",24,0
"205",1,312536303,37,0.871794871794872,"No Patent",24,0
"206",0,313164840,37,0.967532467532468,"No Patent",23,0
"207",1,313164840,37,0.96551724137931,"No Patent",23,0
"208",0,313444044,3,0.959731543624161,"No Patent",23,0
"209",1,313444044,3,0.979591836734694,"No Patent",23,0
"210",0,313581738,27,0.931506849315068,"No Patent",24,1
"211",1,313581738,33,0.91304347826087,"No Patent",24,1
"212",0,314735572,13,0.920454545454545,"No Patent",23,0
"213",1,314735572,23,0.869565217391304,"No Patent",23,0
"214",0,314762444,13,0.885906040268456,"No Patent",23,0
"215",1,314762444,7,0.926829268292683,"No Patent",23,0
"216",0,316406214,17,0.939759036144578,"No Patent",23,0
"217",1,316406214,33,0.862068965517241,"No Patent",23,0
"218",0,316854231,37,0.918918918918919,"No Patent",24,0
"219",1,316854231,37,0.976190476190476,"No Patent",24,0
"220",0,317660272,13,0.903030303030303,"No Patent",21,0
"221",1,317660272,23,0.771428571428571,"No Patent",21,0
"222",0,319074134,37,0.922155688622755,"No Patent",21,0
"223",1,319074134,37,1,"No Patent",21,0
"224",0,320753825,13,0.74025974025974,"No Patent",21,0
"225",1,320753825,33,0.733333333333333,"No Patent",21,0
"226",0,333879138,17,0.778443113772455,"No Patent",22,1
"227",1,333879138,37,0.966666666666667,"No Patent",22,1
"228",0,342390093,7,0.900662251655629,"No Patent",22,0
"229",1,342390093,37,0.755555555555556,"No Patent",22,0
"230",0,342390689,37,0.940397350993378,"No Patent",22,1
"231",1,342390689,37,1,"No Patent",22,1
"232",0,342775970,37,1,"No Patent",24,0
"233",1,342775970,37,1,"No Patent",24,0
"234",0,961144144,17,0.794701986754967,"No Patent",25,1
"235",1,961144144,23,0.692307692307692,"No Patent",25,1
"236",0,36580603,3,0.996,"Singleton",33,1
"237",0,39548821,3,0.657303370786517,"Singleton",34,0
"238",1,39548821,37,0.681818181818182,"Singleton",34,0
"239",0,201374204,27,0.91812865497076,"Singleton",29,1
"240",1,201374204,37,1,"Singleton",29,1
"241",0,201545332,23,0.844748858447489,"Singleton",28,1
"242",1,201545332,17,0.896551724137931,"Singleton",28,1
"243",0,203371737,27,0.716279069767442,"Singleton",27,1
"244",1,203371737,33,0.764705882352941,"Singleton",27,1
"245",0,204456206,17,0.860759493670886,"Singleton",26,0
"246",1,204456206,23,0.833333333333333,"Singleton",26,0
"247",0,204752406,17,0.955056179775281,"Singleton",25,1
"248",1,204752406,27,0.818181818181818,"Singleton",25,1
"249",0,205756117,27,0.87192118226601,"Singleton",24,0
"250",1,205756117,23,0.914893617021277,"Singleton",24,0
"251",0,206828097,23,0.878787878787879,"Singleton",22,1
"252",1,206828097,23,0.971428571428571,"Singleton",22,1
"253",0,209291996,23,0.874458874458874,"Singleton",21,1
"254",1,209291996,23,0.736842105263158,"Singleton",21,1
"255",0,218,27,0.894009216589862,"Singleton",23,0
"256",1,218,27,0.909090909090909,"Singleton",23,0
"257",0,301770301,17,0.946058091286307,"Singleton",30,1
"258",1,301770301,23,0.888888888888889,"Singleton",30,1
"259",0,302309083,17,0.808695652173913,"Singleton",25,0
"260",1,302309083,33,0.894736842105263,"Singleton",25,0
"261",0,305044174,23,0.783185840707965,"Singleton",28,1
"262",1,305044174,37,1,"Singleton",28,1
"263",0,305120875,17,0.905172413793103,"Singleton",28,1
"264",1,305120875,17,0.833333333333333,"Singleton",28,1
"265",0,308118918,37,0.906593406593407,"Singleton",27,0
"266",1,308118918,37,0.9,"Singleton",27,0
"267",0,308159110,7,0.893162393162393,"Singleton",26,1
"268",1,308159110,37,0.875,"Singleton",26,1
"269",0,308292309,17,0.785407725321888,"Singleton",26,1
"270",1,308292309,17,0.875,"Singleton",26,1
"271",0,308334671,23,0.816568047337278,"Singleton",25,0
"272",1,308334671,27,0.833333333333333,"Singleton",25,0
"273",0,308541630,13,0.743697478991597,"Singleton",26,0
"274",1,308541630,37,1,"Singleton",26,0
"275",0,308562917,27,0.90990990990991,"Singleton",26,1
"276",1,308562917,37,0.892857142857143,"Singleton",26,1
"277",0,309374684,23,0.883116883116883,"Singleton",32,1
"278",1,309374684,37,1,"Singleton",32,1
"279",0,311252613,13,0.984210526315789,"Singleton",25,0
"280",1,311252613,13,1,"Singleton",25,0
"281",0,311864086,17,0.873626373626374,"Singleton",30,1
"282",1,311864086,23,0.888888888888889,"Singleton",30,1
"283",0,312022189,23,0.904761904761905,"Singleton",27,1
"284",1,312022189,23,0.870967741935484,"Singleton",27,1
"285",0,312320039,17,0.923076923076923,"Singleton",25,1
"286",1,312320039,23,1,"Singleton",25,1
"287",0,312493588,37,0.645833333333333,"Singleton",25,0
"288",1,312493588,37,1,"Singleton",25,0
"289",0,313188518,33,0.839080459770115,"Singleton",24,1
"290",1,313188518,27,0.923076923076923,"Singleton",24,1
"291",0,314639402,17,0.924170616113744,"Singleton",20,1
"292",1,314639402,17,0.794871794871795,"Singleton",20,1
"293",0,315792549,13,0.93,"Singleton",23,0
"294",0,315875542,23,0.915151515151515,"Singleton",23,0
"295",1,315875542,23,0.90625,"Singleton",23,0
"296",0,316308337,17,0.977578475336323,"Singleton",23,1
"297",1,316308337,23,0.925925925925926,"Singleton",23,1
"298",0,317336451,17,0.939393939393939,"Singleton",24,1
"299",1,317336451,33,0.842105263157895,"Singleton",24,1
"300",0,6050,37,0.974576271186441,"Singleton",26,0
"301",1,6050,37,0.96875,"Singleton",26,0
"302",0,666135,3,0.975,"Singleton",24,1
